Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Fernando Abad*,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,abadfe01
Cory Abbott,CHC,NL,8,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,82,1,0,0,0,0,0,abbotco01
Albert Abreu,NYY,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,abreual01
Bryan Abreu,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,abreubr01
José Abreu,CHW,AL,152,659,566,86,148,30,2,30,117,1,0,61,143,.261,.351,.481,.831,124,272,28,22,0,10,3,abreujo02
Ronald Acuna Jr.,ATL,NL,82,360,297,72,84,19,1,24,52,17,6,49,85,.283,.394,.596,.990,158,177,0,9,0,5,2,acunaro01
Jason Adam,CHC,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,adamja01
Willy Adames,TOT,MLB,140,555,497,77,130,32,1,25,73,5,4,57,156,.262,.337,.481,.818,121,239,9,0,0,1,1,adamewi01
Willy Adames,TBR,AL,41,142,132,16,26,6,1,5,15,1,2,10,51,.197,.254,.371,.625,74,49,1,0,0,0,0,adamewi01
Willy Adames,MIL,NL,99,413,365,61,104,26,0,20,58,4,2,47,105,.285,.366,.521,.886,137,190,8,0,0,1,1,adamewi01
Austin Adams,SDP,NL,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,adamsau02
Matt Adams*,COL,NL,22,40,36,3,6,1,0,0,2,0,0,4,9,.167,.250,.194,.444,17,7,1,0,0,0,1,adamsma01
Riley Adams,TOT,MLB,47,120,99,13,22,8,1,2,10,0,0,15,40,.222,.358,.384,.742,105,38,2,6,0,0,0,adamsri03
Riley Adams,TOR,AL,12,30,28,2,3,2,0,0,0,0,0,2,12,.107,.167,.179,.345,-6,5,1,0,0,0,0,adamsri03
Riley Adams,WSN,NL,35,90,71,11,19,6,1,2,10,0,0,13,28,.268,.422,.465,.887,145,33,1,6,0,0,0,adamsri03
Jo Adell,LAA,AL,35,140,130,17,32,5,2,4,26,2,1,8,32,.246,.295,.408,.703,89,53,3,1,1,0,0,adelljo01
Joan Adon,WSN,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,adonjo01
Ehire Adrianza#,ATL,NL,109,209,182,32,45,9,2,5,28,0,0,21,42,.247,.327,.401,.728,92,73,4,2,1,3,0,adriaeh01
Jesús Aguilar,MIA,NL,131,510,449,49,117,23,0,22,93,0,0,46,93,.261,.329,.459,.788,111,206,11,3,0,7,4,aguilje01
Miguel Aguilar*,ARI,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,aguilmi01
Nick Ahmed,ARI,NL,129,473,434,46,96,30,3,5,38,7,2,34,104,.221,.280,.339,.619,67,147,9,2,2,1,3,ahmedni01
Keegan Akin*,BAL,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,akinke01
Shogo Akiyama*,CIN,NL,88,183,162,16,33,8,0,0,12,2,3,14,40,.204,.282,.253,.535,41,41,1,4,1,1,1,akiyash01
R.J. Alaniz,CIN,NL,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,alanirj01
Hanser Alberto,KCR,AL,103,255,241,25,65,20,3,2,24,3,1,4,26,.270,.291,.402,.693,86,97,1,4,4,2,0,alberha01
Ozzie Albies#,ATL,NL,156,686,629,103,163,40,7,30,106,20,4,47,128,.259,.310,.488,.799,108,307,4,3,0,7,2,albieoz01
Jorge Alcala,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,alcaljo01
Sandy Alcantara,MIA,NL,30,64,58,0,2,1,0,0,0,0,0,3,45,.034,.097,.052,.148,-58,3,0,1,2,0,0,alcansa01
Sergio Alcántara#,CHC,NL,89,255,220,30,45,6,3,5,17,3,0,30,74,.205,.303,.327,.630,72,72,3,2,1,2,2,alcanse01
Scott Alexander*,LAD,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,alexasc02
Tyler Alexander,DET,AL,4,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,alexaty01
Jorge Alfaro,MIA,NL,92,311,295,22,72,15,1,4,30,8,1,11,99,.244,.283,.342,.625,69,101,8,5,0,0,0,alfarjo01
Anthony Alford,PIT,NL,49,148,133,14,31,6,1,5,11,5,6,12,58,.233,.311,.406,.717,93,54,4,3,0,0,1,alforan01
Kolby Allard*,TEX,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,allarko01
Austin Allen*,OAK,AL,4,8,8,2,2,0,0,1,1,0,0,0,3,.250,.250,.625,.875,134,5,0,0,0,0,0,allenau01
Greg Allen#,NYY,AL,15,48,37,9,10,4,1,0,2,5,0,5,13,.270,.417,.432,.849,136,16,0,5,0,1,0,allengr01
Logan Allen,CLE,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,allenlo01
Abraham Almonte#,ATL,NL,64,175,148,20,32,12,0,5,19,1,1,26,38,.216,.331,.399,.730,93,59,2,0,0,1,0,almonab01
Yency Almonte,COL,NL,46,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,almonye01
