Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Connor McDavid,EDM,C,28,25,29,6,16,10,1,3,17,0,110,636,12,28,177,161,mcdavco01
Jason Robertson,DAL,LW,27,23,18,17,8,6,0,4,8,0,118,487,4,14,0,0,roberja01
Tage Thompson,BUF,C,27,21,20,7,16,9,1,2,7,0,124,504,7,12,140,193,thompta01
Bo Horvat,VAN,C,27,20,9,1,8,8,2,3,4,0,90,565,19,17,383,278,horvabo01
Leon Draisaitl,EDM,C,28,19,27,7,16,12,0,7,9,1,89,622,19,15,285,246,draisle01
David Pastrnak,BOS,RW,26,19,18,10,16,8,0,2,9,0,134,520,5,29,5,6,pastrda01
Kirill Kaprizov,MIN,LW,26,17,17,-9,15,9,0,2,8,0,113,549,8,23,0,2,kapriki01
Alex Ovechkin,WSH,LW,29,16,13,-10,16,6,0,3,7,0,126,601,10,84,1,3,ovechal01
Mikko Rantanen,COL,RW,25,16,17,3,18,3,0,2,12,0,72,554,13,25,63,88,rantami01
Cole Caufield,MTL,RW,26,15,9,-2,0,3,0,1,2,0,92,470,5,10,0,0,caufico01
Sidney Crosby,PIT,C,27,15,20,4,16,2,0,4,4,0,79,540,12,33,297,270,crosbsi01
William Nylander,TOR,C,28,15,13,9,8,5,0,1,5,0,89,509,7,8,13,17,nylanwi01
Mark Scheifele,WPG,C,26,15,8,1,12,4,0,2,2,0,70,546,9,17,188,226,scheima01
Andrei Svechnikov,CAR,RW,26,15,10,-4,16,3,0,1,6,0,79,479,5,49,0,0,svechan01
Carter Verhaeghe,FLA,C,27,15,9,2,20,4,0,1,2,0,88,474,8,9,1,5,verhaca01
Mika Zibanejad,NYR,C,29,15,17,8,8,10,1,3,5,0,120,608,9,22,214,257,zibanmi01
Logan Couture,SJS,C,30,14,12,-9,9,3,1,0,5,0,72,554,24,50,236,283,coutulo01
Jack Hughes,NJD,C,27,14,19,11,2,2,0,3,7,0,106,519,7,4,41,84,hugheja03
Auston Matthews,TOR,C,28,14,17,13,10,6,0,2,5,0,121,565,32,45,200,191,matthau01
Timo Meier,SJS,RW,30,14,13,-7,10,6,0,2,2,0,137,599,8,64,12,20,meierti01
Brock Nelson,NYI,C,28,14,14,5,12,3,0,5,6,0,90,524,18,23,200,203,nelsobr01
Ryan Nugent-Hopkins,EDM,C,28,14,19,0,18,3,0,2,14,1,70,550,13,20,104,133,nugenry01
Steven Stamkos,TBL,C,26,14,18,5,14,7,0,2,7,0,86,514,19,27,169,152,stamkst01
Nick Suzuki,MTL,C,26,14,15,1,6,5,1,0,3,0,52,543,12,14,179,191,suzukni01
Pierre-Luc Dubois,WPG,LW,26,13,15,-2,24,5,0,1,6,0,70,467,11,29,175,161,duboipi01
Jack Eichel,VEG,C,27,13,16,17,0,1,0,2,7,0,100,508,23,20,130,175,eicheja01
Jake Guentzel,PIT,C,23,13,14,2,18,4,0,3,2,0,73,450,2,30,4,4,guentja01
Chris Kreider,NYR,LW,29,13,10,6,10,4,1,2,5,0,91,565,9,59,17,17,kreidch01
Andrei Kuzmenko,VAN,F,26,13,12,3,0,7,0,2,2,0,52,406,9,4,0,0,kuzmean01
Elias Pettersson,VAN,C,27,13,21,6,4,0,0,2,10,1,87,537,30,21,134,175,petteel01
Brayden Point,TBL,C,26,13,14,-2,2,5,0,3,5,0,78,538,10,13,149,169,pointbr01
Jeff Skinner,BUF,LW,27,13,19,9,15,4,0,0,6,0,84,459,5,14,51,55,skinnje01
John Tavares,TOR,C,28,13,14,2,14,7,0,2,7,0,94,485,13,38,281,187,tavarjo01
Matthew Tkachuk,FLA,LW,25,13,24,9,41,2,0,0,10,0,102,522,8,17,7,9,tkachma01
Alex Tuch,BUF,RW,27,13,15,7,6,3,0,4,4,0,72,502,14,17,11,11,tuchal01
Gabriel Vilardi,LAK,C,28,13,6,-1,4,4,0,3,1,0,59,453,14,19,17,29,vilarga01
Lawson Crouse,ARI,LW,24,12,3,1,14,2,0,1,0,0,45,419,15,56,6,7,crousla01
Nico Hischier,NJD,C,26,12,16,14,2,4,0,3,3,1,83,515,14,9,310,243,hischni01
Erik Karlsson,SJS,D,30,12,25,-5,8,2,0,3,7,0,89,753,32,12,0,0,karlser01
Jonathan Marchessault,VEG,C,29,12,10,2,9,5,0,2,3,0,99,480,5,37,7,16,audymjo01
Jared McCann,SEA,C,23,12,5,4,0,2,0,0,3,0,51,357,4,19,18,27,mccanja01
Martin Necas,CAR,C,26,12,16,3,12,4,0,0,4,0,87,512,7,20,68,87,necasma01
Victor Olofsson,BUF,RW,27,12,3,-9,2,3,0,2,2,0,62,386,5,6,1,3,olofsvi01
Nick Paul,TBL,LW,26,12,7,14,8,3,0,2,0,0,52,457,21,50,167,157,paulni01
Reilly Smith,VEG,RW,29,12,6,5,8,4,3,2,1,0,68,486,11,21,2,1,smithre01
Brady Tkachuk,OTT,LW,26,12,18,-8,43,4,0,3,6,0,118,477,2,66,123,112,tkachbr01
Sebastian Aho,CAR,F,26,11,16,2,18,2,0,3,4,1,77,520,7,29,205,173,ahose01
Kyle Connor,WPG,LW,26,11,17,-1,2,2,0,4,9,0,90,527,9,17,0,0,connoky01
Claude Giroux,OTT,C,26,11,12,1,6,1,0,1,6,0,65,470,11,23,188,112,giroucl01
Taylor Hall,BOS,LW,26,11,9,6,14,3,0,4,1,0,72,421,13,14,2,3,hallta02
Roope Hintz,DAL,LW,26,11,21,16,8,1,1,2,8,0,57,449,16,20,89,79,hintzro01
Nikita Kucherov,TBL,RW,26,11,27,-3,20,5,0,3,14,0,94,564,11,25,0,0,kucheni01
Mitch Marner,TOR,RW,28,11,22,6,12,1,1,1,10,1,71,602,21,25,0,1,marnemi01
J.T. Miller,VAN,C,27,11,15,-9,26,6,0,1,8,0,58,566,16,59,55,62,millejt01
Rickard Rakell,PIT,RW,27,11,7,13,2,2,0,0,2,0,85,483,15,49,6,4,rakelri01
Troy Terry,ANA,C,28,11,16,-5,8,3,0,2,3,0,89,565,10,7,1,0,terrytr01
Matthew Beniers,SEA,C,26,10,11,1,2,3,0,2,2,0,51,450,19,33,143,183,beniema01
Jamie Benn,DAL,LW,27,10,16,9,16,4,0,1,7,0,65,407,10,31,173,117,bennja01
Jesper Bratt,NJD,W,27,10,20,15,4,4,0,2,8,0,62,464,10,10,0,0,brattje01
