Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
José Abreu,CHW,AL,60,262,240,43,76,15,0,19,60,0,0,18,59,.317,.370,.617,.987,165,148,10,3,0,1,1,abreujo02
Ronald Acuna Jr.,ATL,NL,46,202,160,46,40,11,0,14,29,8,1,38,60,.250,.406,.581,.987,156,93,3,4,0,0,2,acunaro01
Willy Adames,TBR,AL,54,205,185,29,48,15,1,8,23,2,1,20,74,.259,.332,.481,.813,126,89,4,0,0,0,0,adamewi01
Austin Adams,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,adamsau02
Matt Adams*,ATL,NL,16,51,49,4,9,2,0,2,9,0,0,2,18,.184,.216,.347,.563,45,17,3,0,0,0,0,adamsma01
Jo Adell,LAA,AL,38,132,124,9,20,4,0,3,7,0,1,7,55,.161,.212,.266,.478,30,33,3,1,0,0,0,adelljo01
Ehire Adrianza#,MIN,AL,44,101,89,10,17,7,0,0,3,1,0,11,23,.191,.287,.270,.557,57,24,3,1,0,0,0,adriaeh01
Jesús Aguilar,MIA,NL,51,216,188,31,52,10,0,8,34,0,1,23,40,.277,.352,.457,.809,117,86,5,1,0,4,0,aguilje01
Nick Ahmed,ARI,NL,57,217,199,29,53,10,1,5,29,4,0,18,46,.266,.327,.402,.729,97,80,3,0,0,0,0,ahmedni01
Shogo Akiyama*,CIN,NL,54,183,155,16,38,6,1,0,9,7,3,25,34,.245,.357,.297,.654,74,46,1,2,0,0,0,akiyash01
Hanser Alberto,BAL,AL,54,231,219,35,62,15,0,3,22,3,0,5,30,.283,.306,.393,.698,88,86,6,3,2,2,0,alberha01
Ozzie Albies#,ATL,NL,29,124,118,21,32,5,0,6,19,3,1,5,30,.271,.306,.466,.773,100,55,0,1,0,0,0,albieoz01
Sergio Alcántara#,DET,AL,10,23,21,2,3,0,1,1,1,0,0,2,4,.143,.217,.381,.598,60,8,0,0,0,0,0,alcanse01
Jorge Alfaro,MIA,NL,31,100,93,12,21,2,0,3,16,2,0,4,36,.226,.280,.344,.624,68,32,2,3,0,0,1,alfarjo01
Anthony Alford,TOT,MLB,18,29,28,5,6,0,1,2,7,3,0,1,8,.214,.241,.500,.741,96,14,0,0,0,0,0,alforan01
Anthony Alford,TOR,AL,13,16,16,3,3,0,0,1,3,3,0,0,7,.188,.188,.375,.563,49,6,0,0,0,0,0,alforan01
Anthony Alford,PIT,NL,5,13,12,2,3,0,1,1,4,0,0,1,1,.250,.308,.667,.974,155,8,0,0,0,0,0,alforan01
Austin Allen*,OAK,AL,14,32,31,1,6,1,0,1,3,0,0,1,14,.194,.219,.323,.541,49,10,0,0,0,0,0,allenau01
Greg Allen#,TOT,MLB,16,32,26,4,4,1,0,1,4,2,0,3,10,.154,.281,.308,.589,62,8,0,2,0,1,0,allengr01
Greg Allen#,CLE,AL,15,28,25,3,4,1,0,1,4,1,0,1,9,.160,.214,.320,.534,44,8,0,1,0,1,0,allengr01
Greg Allen#,SDP,NL,1,4,1,1,0,0,0,0,0,1,0,2,1,.000,.750,.000,.750,138,0,0,1,0,0,0,allengr01
Abraham Almonte#,SDP,NL,7,13,11,0,1,0,0,0,0,1,1,2,4,.091,.231,.091,.322,-5,1,0,0,0,0,0,almonab01
Albert Almora,CHC,NL,28,34,30,4,5,1,0,0,1,0,0,3,9,.167,.265,.200,.465,29,6,0,1,0,0,0,almoral01
Pete Alonso,NYM,NL,57,239,208,31,48,6,0,16,35,1,0,24,61,.231,.326,.490,.817,122,102,4,6,0,1,4,alonspe01
Dan Altavilla,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,altavda01
Dan Altavilla,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,altavda01
Jose Altuve,HOU,AL,48,210,192,32,42,9,0,5,18,2,3,17,39,.219,.286,.344,.629,71,66,5,1,0,0,0,altuvjo01
Eddy Alvarez*,MIA,NL,12,41,37,6,7,1,0,0,2,2,0,3,16,.189,.268,.216,.485,34,8,0,1,0,0,0,alvared01
Yordan Alvarez*,HOU,AL,2,9,8,2,2,0,0,1,4,0,0,0,1,.250,.333,.625,.958,153,5,1,1,0,0,0,alvaryo01
Brian Anderson,MIA,NL,59,229,200,27,51,7,1,11,38,0,0,22,66,.255,.345,.465,.810,116,93,2,6,0,1,1,anderbr06
Tim Anderson,CHW,AL,49,221,208,45,67,11,1,10,21,5,2,10,50,.322,.357,.529,.886,140,110,4,2,0,1,0,anderti01
Elvis Andrus,TEX,AL,29,111,103,11,20,5,0,3,7,3,1,8,15,.194,.252,.330,.582,60,34,5,0,0,0,0,andruel01
Miguel Andújar,NYY,AL,21,65,62,5,15,2,1,1,5,0,0,3,9,.242,.277,.355,.632,75,22,1,0,0,0,0,andujmi01
Sherten Apostel,TEX,AL,7,21,20,1,2,1,0,0,0,0,0,1,9,.100,.143,.150,.293,-19,3,0,0,0,0,0,apostsh01
Aristides Aquino,CIN,NL,23,56,47,7,8,1,0,2,8,1,0,6,18,.170,.304,.319,.623,63,15,1,3,0,0,0,aquinar01
Jonathan Araúz#,BOS,AL,25,80,72,8,18,2,0,1,9,0,0,8,21,.250,.325,.319,.644,73,23,0,0,0,0,0,arauzjo01
Orlando Arcia,MIL,NL,59,189,173,22,45,10,1,5,20,2,0,14,32,.260,.317,.416,.734,95,72,10,1,0,1,0,arciaor01
Nolan Arenado,COL,NL,48,201,182,23,46,9,0,8,26,0,0,15,20,.253,.303,.434,.738,86,79,7,0,0,4,3,arenano01
Randy Arozarena,TBR,AL,23,76,64,15,18,2,0,7,11,4,0,6,22,.281,.382,.641,1.022,182,41,2,5,0,1,0,arozara01
Luis Arraez*,MIN,AL,32,121,112,16,36,9,0,0,13,0,0,8,11,.321,.364,.402,.765,113,45,2,0,0,1,0,arraelu01
Christian Arroyo,TOT,AL,15,54,50,7,12,1,0,3,8,0,0,4,11,.240,.296,.440,.736,93,22,2,0,0,0,0,arroych01
Christian Arroyo,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,arroych01
Christian Arroyo,BOS,AL,14,54,50,7,12,1,0,3,8,0,0,4,11,.240,.296,.440,.736,93,22,2,0,0,0,0,arroych01
Willians Astudillo,MIN,AL,8,16,16,4,4,1,0,1,3,0,0,0,2,.250,.250,.500,.750,101,8,0,0,0,0,0,astudwi01
Alex Avila*,MIN,AL,23,62,49,6,9,2,0,1,2,0,0,11,22,.184,.355,.286,.641,82,14,2,2,0,0,0,avilaal01
Harrison Bader,STL,NL,50,125,106,21,24,7,2,4,11,3,1,13,40,.226,.336,.443,.779,114,47,2,5,0,1,0,baderha01
Javier Báez,CHC,NL,59,235,222,27,45,9,1,8,24,3,0,7,75,.203,.238,.360,.599,59,80,8,4,0,2,0,baezja01
Austin Barnes,LAD,NL,29,104,86,14,21,3,0,1,9,3,0,13,24,.244,.353,.314,.667,84,27,0,2,2,1,0,barneau01
Tucker Barnhart*,CIN,NL,38,110,98,10,20,3,0,5,13,0,0,12,28,.204,.291,.388,.679,75,38,2,0,0,0,0,barnhtu01
Jose Barrero,CIN,NL,24,68,67,4,13,0,0,0,2,1,1,1,26,.194,.206,.194,.400,6,13,1,0,0,0,0,garcijo02
Franklin Barreto,TOT,AL,21,28,27,5,2,0,0,0,2,1,0,0,15,.074,.107,.074,.181,-48,2,0,1,0,0,0,barrefr02
Franklin Barreto,OAK,AL,15,10,10,5,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,barrefr02
Franklin Barreto,LAA,AL,6,18,17,0,2,0,0,0,2,1,0,0,8,.118,.167,.118,.284,-20,2,0,1,0,0,0,barrefr02
Joey Bart,SFG,NL,33,111,103,15,24,5,2,0,7,0,0,3,41,.233,.288,.320,.609,68,33,1,5,0,0,0,bartjo01
Luis Alexander Basabe#,SFG,NL,9,18,14,5,2,0,0,0,1,2,0,4,5,.143,.333,.143,.476,39,2,0,0,0,0,0,basablu01
Matt Beaty*,LAD,NL,21,54,50,8,11,1,0,2,5,0,0,2,14,.220,.278,.360,.638,72,18,3,2,0,0,0,beatyma01
Cam Bedrosian,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,bedroca01
Josh Bell#,PIT,NL,57,223,195,22,44,3,0,8,22,0,0,22,59,.226,.305,.364,.669,82,71,3,2,0,4,4,belljo02
Cody Bellinger*,LAD,NL,56,243,213,33,51,10,0,12,30,6,1,30,42,.239,.333,.455,.789,112,97,4,0,0,0,2,bellico01
Brandon Belt*,SFG,NL,51,179,149,25,46,13,1,9,30,0,0,30,36,.309,.425,.591,1.015,177,88,5,0,0,0,1,beltbr01
Anthony Bemboom*,LAA,AL,21,60,48,9,10,1,0,3,5,0,1,7,13,.208,.328,.417,.744,103,20,0,2,2,1,0,bemboan01
Andrew Benintendi*,BOS,AL,14,52,39,4,4,1,0,0,1,1,2,11,17,.103,.314,.128,.442,25,5,1,1,1,0,0,beninan01
Jon Berti,MIA,NL,39,149,120,21,31,5,0,2,14,9,2,23,37,.258,.388,.350,.738,102,42,1,3,2,1,0,bertijo01
Mookie Betts,LAD,NL,55,246,219,47,64,9,1,16,39,10,2,24,38,.292,.366,.562,.927,147,123,2,2,0,1,1,bettsmo01
Bo Bichette,TOR,AL,29,128,123,18,37,9,1,5,23,4,1,5,27,.301,.328,.512,.840,127,63,2,0,0,0,1,bichebo01
Cavan Biggio*,TOR,AL,59,265,220,41,55,16,0,8,28,6,0,41,61,.250,.375,.432,.807,122,95,2,3,0,0,0,biggica01
Braden Bishop,SEA,AL,12,34,30,2,5,2,0,0,4,1,0,2,10,.167,.242,.233,.476,35,7,0,1,1,0,0,bishobr01
Charlie Blackmon*,COL,NL,59,247,221,31,67,12,1,6,42,2,1,19,44,.303,.356,.448,.804,104,99,4,2,0,5,4,blackch02
Travis Blankenhorn*,MIN,AL,1,4,3,0,1,1,0,0,0,0,0,0,0,.333,.500,.667,1.167,221,2,0,1,0,0,0,blanktr01
Xander Bogaerts,BOS,AL,56,225,203,36,61,8,0,11,28,8,0,21,41,.300,.364,.502,.867,128,102,3,0,0,1,2,bogaexa01
Alec Bohm,PHI,NL,44,180,160,24,54,11,0,4,23,1,1,16,36,.338,.400,.481,.881,137,77,4,2,0,2,0,bohmal01
Emilio Bonifácio#,WSN,NL,3,3,3,1,0,0,0,0,0,0,1,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,bonifem01
Jorge Bonifacio,DET,AL,30,94,86,8,19,3,0,2,17,0,0,5,26,.221,.277,.326,.602,65,28,1,2,0,1,0,bonifjo01
David Bote,CHC,NL,45,145,125,15,25,3,1,7,29,2,0,17,40,.200,.303,.408,.711,90,51,6,2,0,1,0,boteda01
Jackie Bradley Jr.*,BOS,AL,55,217,191,32,54,11,0,7,22,5,2,23,48,.283,.364,.450,.814,116,86,2,2,0,1,1,bradlja02
Michael Brantley*,HOU,AL,46,187,170,24,51,15,0,5,22,2,0,17,28,.300,.364,.476,.840,127,81,3,0,0,0,0,brantmi02
Rob Brantly*,SFG,NL,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,brantro01
Ryan Brasier,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brasiry01
Ryan Braun,MIL,NL,39,141,129,14,30,7,1,8,26,1,0,7,27,.233,.281,.488,.769,101,63,6,2,0,1,0,braunry02
Alex Bregman,HOU,AL,42,180,153,19,37,12,1,6,22,0,0,24,26,.242,.350,.451,.801,117,69,2,2,0,1,1,bregmal01
José Briceño,LAA,AL,2,6,5,0,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,52,1,0,0,0,0,0,bricejo01
Lewis Brinson,MIA,NL,47,112,106,14,24,6,0,3,12,4,0,6,30,.226,.268,.368,.636,70,39,2,0,0,0,0,brinsle01
Mike Brosseau,TBR,AL,36,98,86,12,26,5,1,5,12,2,0,8,31,.302,.378,.558,.936,160,48,1,3,0,1,0,brossmi01
Seth Brown*,OAK,AL,7,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,brownse01
Jay Bruce*,PHI,NL,32,103,96,11,19,4,2,6,14,0,0,7,24,.198,.252,.469,.721,89,45,1,0,0,0,1,bruceja01
Kris Bryant,CHC,NL,34,147,131,20,27,5,1,4,11,0,0,12,40,.206,.293,.351,.644,73,46,1,4,0,0,0,bryankr01
Drew Butera,COL,NL,28,43,39,4,6,2,0,0,4,0,0,2,11,.154,.190,.205,.396,2,8,3,0,1,1,0,buterdr01
Byron Buxton,MIN,AL,39,135,130,19,33,3,0,13,27,2,1,2,36,.254,.267,.577,.844,125,75,2,1,0,2,0,buxtoby01
Asdrúbal Cabrera#,WSN,NL,52,213,190,23,46,9,3,8,31,0,0,19,40,.242,.305,.447,.753,101,85,6,0,0,4,0,cabreas01
Miguel Cabrera,DET,AL,57,231,204,28,51,4,0,10,35,1,0,24,51,.250,.329,.417,.746,104,85,3,1,0,2,1,cabremi01
Lorenzo Cain,MIL,NL,5,21,18,4,6,1,0,0,2,0,0,3,2,.333,.429,.389,.817,122,7,1,0,0,0,1,cainlo01
Kole Calhoun*,ARI,NL,54,228,190,35,43,9,0,16,40,1,1,28,50,.226,.338,.526,.864,130,100,6,6,0,4,0,calhoko01
Willie Calhoun*,TEX,AL,29,108,100,3,19,2,1,1,13,0,0,5,17,.190,.231,.260,.491,36,26,1,1,0,2,0,calhowi01
Johan Camargo#,ATL,NL,35,127,120,16,24,8,0,4,9,0,0,6,35,.200,.244,.367,.611,58,44,1,1,0,0,0,camarjo01
Daz Cameron,DET,AL,17,59,57,4,11,2,1,0,3,1,0,2,19,.193,.220,.263,.483,33,15,1,0,0,0,0,camerda01
Luis Campusano,SDP,NL,1,4,3,2,1,0,0,1,1,0,0,0,2,.333,.500,1.333,1.833,385,4,0,1,0,0,0,campulu01
Jeimer Candelario#,DET,AL,52,206,185,30,55,11,3,7,29,1,1,20,49,.297,.369,.503,.872,137,93,3,1,0,0,0,candeje01
Mark Canha,OAK,AL,59,243,191,32,47,12,2,5,33,4,0,37,54,.246,.387,.408,.795,124,78,2,10,0,5,1,canhama01
Robinson Canó*,NYM,NL,49,182,171,23,54,9,0,10,30,0,0,9,24,.316,.352,.544,.896,143,93,7,1,0,1,1,canoro01
Victor Caratini#,CHC,NL,44,132,116,10,28,7,0,1,16,0,1,12,31,.241,.333,.328,.661,80,38,4,4,0,0,1,caratvi01
Dylan Carlson#,STL,NL,35,119,110,11,22,7,1,3,16,1,1,8,35,.200,.252,.364,.616,68,40,3,0,0,1,0,carlsdy01
Matt Carpenter*,STL,NL,50,169,140,22,26,6,0,4,24,0,0,23,48,.186,.325,.314,.640,79,44,1,6,0,0,1,carpema01
Curt Casali,CIN,NL,31,93,76,10,17,3,0,6,8,2,0,14,29,.224,.366,.500,.866,123,38,2,3,0,0,0,casalcu01
Nick Castellanos,CIN,NL,60,242,218,37,49,11,2,14,34,0,2,19,69,.225,.298,.486,.784,100,106,5,4,0,1,1,casteni01
Harold Castro*,DET,AL,22,54,49,6,17,4,0,0,3,0,0,5,11,.347,.407,.429,.836,131,21,1,0,0,0,0,castrha01
