Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
CJ Abrams*,TOT,NL,90,302,284,33,70,12,2,2,21,7,4,5,50,76,92,5,9,2,2,0,abramcj01
CJ Abrams*,SDP,NL,46,139,125,16,29,5,0,2,11,1,2,4,27,77,40,4,6,2,2,0,abramcj01
CJ Abrams*,WSN,NL,44,163,159,17,41,7,2,0,10,6,2,1,23,75,52,1,3,0,0,0,abramcj01
Albert Abreu,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,abreual01
Albert Abreu,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,abreual01
José Abreu,CHW,AL,157,679,601,85,183,40,0,15,75,0,0,62,110,133,268,19,12,0,4,2,abreujo02
Ronald Acuna Jr.,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,114,193,8,10,0,3,4,acunaro01
Willy Adames,MIL,NL,139,617,563,83,134,31,0,31,98,8,3,49,166,112,258,11,1,0,4,3,adamewi01
Riley Adams,WSN,NL,48,155,142,14,25,4,0,5,10,0,1,12,46,60,44,2,1,0,0,0,adamsri03
Jo Adell,LAA,AL,88,285,268,22,60,12,2,8,27,4,2,11,107,79,100,6,4,0,1,0,adelljo01
Ehire Adrianza#,TOT,NL,37,110,97,8,17,3,0,0,7,1,0,11,25,39,20,2,1,0,1,0,adriaeh01
Ehire Adrianza#,WSN,NL,31,94,84,5,15,2,0,0,7,1,0,8,22,36,17,2,1,0,1,0,adriaeh01
Ehire Adrianza#,ATL,NL,6,16,13,3,2,1,0,0,0,0,0,3,3,56,3,0,0,0,0,0,adriaeh01
Jesús Aguilar,TOT,MLB,129,507,464,39,109,19,0,16,51,1,0,28,119,86,176,8,4,0,5,1,aguilje01
Jesús Aguilar,MIA,NL,113,456,415,37,98,18,0,15,49,1,0,27,106,89,161,8,4,0,5,1,aguilje01
Jesús Aguilar,BAL,AL,16,51,49,2,11,1,0,1,2,0,0,1,13,54,15,0,0,0,0,0,aguilje01
Ryan Aguilar*,LAA,AL,7,26,22,2,3,1,0,0,2,0,0,2,14,20,4,0,1,0,1,0,aguilry01
Nick Ahmed,ARI,NL,17,54,52,7,12,2,0,3,7,0,1,2,15,95,23,2,0,0,0,0,ahmedni01
Hanser Alberto,LAD,NL,73,159,156,13,38,9,2,2,15,0,1,3,25,70,57,7,0,0,0,0,alberha01
Ozzie Albies#,ATL,NL,64,269,247,36,61,16,0,8,35,3,5,16,47,95,101,0,2,0,4,0,albieoz01
Sergio Alcántara#,TOT,NL,164,410,205,26,45,8,1,6,29,1,2,12,57,75,73,6,1,2,4,0,alcanse01
Sergio Alcántara#,ARI,NL,71,186,53,6,10,2,1,1,7,0,0,1,13,46,17,1,0,1,1,0,alcanse01
Sergio Alcántara#,SDP,NL,22,38,35,3,4,0,0,0,3,0,2,2,12,-18,4,0,0,0,1,0,alcanse01
Sergio Alcántara#,ARI,NL,71,186,117,17,31,6,0,5,19,1,0,9,32,115,52,5,1,1,2,0,alcanse01
Scott Alexander*,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,alexasc02
Jorge Alfaro,SDP,NL,82,274,256,25,63,14,0,7,40,1,0,11,98,94,98,5,4,0,3,0,alfarjo01
Anthony Alford,PIT,NL,2,4,4,0,1,0,0,0,0,0,0,0,2,42,1,0,0,0,0,0,alforan01
Austin Allen*,OAK,AL,5,16,14,1,1,0,0,0,0,0,0,1,9,-20,1,1,1,0,0,0,allenau01
Greg Allen#,PIT,NL,46,134,118,17,22,4,0,2,8,8,2,10,42,51,32,2,2,3,1,0,allengr01
Nick Allen,OAK,AL,100,326,299,31,62,13,0,4,19,3,2,19,64,60,87,5,1,6,1,0,allenni02
Abraham Almonte#,BOS,AL,15,37,35,7,9,2,0,1,2,1,0,1,12,92,14,1,1,0,0,0,almonab01
Albert Almora,CIN,NL,64,235,215,26,48,10,1,5,29,3,2,17,46,71,75,9,1,1,1,0,almoral01
Pete Alonso,NYM,NL,160,685,597,95,162,27,0,40,131,5,1,67,128,146,309,17,12,0,9,16,alonspe01
Jose Altuve,HOU,AL,141,604,527,103,158,39,0,28,57,18,1,66,87,160,281,13,10,0,1,2,altuvjo01
José Alvarado*,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,-100,0,0,0,0,0,0,alvarjo03
Eddy Alvarez*,LAD,NL,14,27,25,1,4,0,0,0,3,1,0,0,9,-13,4,1,0,1,1,0,alvared01
Francisco Álvarez,NYM,NL,5,14,12,3,2,1,0,1,1,0,0,2,4,121,6,1,0,0,0,0,alvarfr01
Yordan Alvarez*,HOU,AL,135,561,470,95,144,29,2,37,97,1,1,78,106,187,288,12,6,0,7,9,alvaryo01
Brian Anderson,MIA,NL,98,383,338,43,75,16,1,8,28,1,0,37,101,87,117,7,7,0,1,2,anderbr06
Tim Anderson,CHW,AL,79,351,332,50,100,13,0,6,25,13,0,14,55,108,131,10,5,0,0,1,anderti01
Tyler Anderson*,LAD,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,-100,0,0,0,0,0,0,anderty01
Elvis Andrus,TOT,AL,149,577,535,66,133,32,0,17,58,18,4,39,92,103,216,11,3,0,0,0,andruel01
Elvis Andrus,OAK,AL,106,386,354,41,84,24,0,8,30,7,4,30,62,96,132,10,2,0,0,0,andruel01
Elvis Andrus,CHW,AL,43,191,181,25,49,8,0,9,28,11,0,9,30,116,84,1,1,0,0,0,andruel01
Miguel Andújar,TOT,MLB,36,140,132,13,31,5,1,1,17,4,1,5,27,61,41,1,0,0,3,0,andujmi01
Miguel Andújar,NYY,AL,27,100,96,9,22,2,0,1,8,4,0,3,22,52,27,0,0,0,1,0,andujmi01
Miguel Andújar,PIT,NL,9,40,36,4,9,3,1,0,9,0,1,2,5,85,14,1,0,0,2,0,andujmi01
