Name,GS,PO,A,E,DP,Fld%,Name-additional
Cory Abbott,9,2,1,0,0,1.000,abbotco01
CJ Abrams,78,106,206,15,37,.954,abramcj01
Albert Abreu,0,2,5,2,1,.778,abreual01
Bryan Abreu,0,2,6,0,0,1.000,abreubr01
José Abreu,128,954,51,11,96,.989,abreujo02
Domingo Acevedo,0,3,3,3,0,.667,acevedo01
Ronald Acuna Jr.,88,150,4,4,0,.975,acunaro01
Jason Adam,0,1,2,0,0,1.000,adamja01
Willy Adames,136,178,334,14,68,.973,adamewi01
Austin Adams,0,1,0,0,0,1.000,adamsau02
Riley Adams,44,327,16,2,1,.994,adamsri03
Jo Adell,71,139,5,5,1,.966,adelljo01
Joan Adon,14,8,7,2,0,.882,adonjo01
Ehire Adrianza,26,37,41,1,7,.987,adriaeh01
Jesús Aguilar,60,475,47,4,46,.992,aguilje01
Ryan Aguilar,6,15,0,0,1,1.000,aguilry01
Nick Ahmed,15,16,41,1,6,.983,ahmedni01
Keegan Akin,1,3,11,0,2,1.000,akinke01
Hanser Alberto,37,62,82,3,20,.980,alberha01
Ozzie Albies,63,81,151,3,33,.987,albieoz01
Jorge Alcala,0,0,0,0,0,,alcaljo01
Sandy Alcantara,32,20,28,0,2,1.000,alcansa01
Sergio Alcántara,58,66,151,9,21,.960,alcanse01
Jason Alexander,11,2,14,1,2,.941,alexaja01
Scott Alexander,4,2,5,0,1,1.000,alexasc02
Tyler Alexander,17,2,7,1,0,.900,alexaty01
A.J. Alexy,0,0,1,1,0,.500,alexyaj01
Jorge Alfaro,59,544,27,2,4,.997,alfarjo01
Anthony Alford,1,1,0,0,0,1.000,alforan01
Kolby Allard,0,1,2,0,0,1.000,allarko01
Cam Alldred,0,0,0,0,0,,alldrca01
Austin Allen,4,24,3,0,1,1.000,allenau01
Greg Allen,32,70,0,0,0,1.000,allengr01
Logan Allen,0,0,2,0,0,1.000,allenlo01
Nick Allen,92,137,284,10,59,.977,allenni02
Abraham Almonte,7,14,0,0,0,1.000,almonab01
Yency Almonte,0,4,3,1,0,.875,almonye01
Albert Almora,59,135,5,2,0,.986,almoral01
Pete Alonso,133,913,92,8,102,.992,alonspe01
Jose Altuve,134,159,269,9,67,.979,altuvjo01
José Alvarado,0,3,6,0,1,1.000,alvarjo03
Eddy Alvarez,7,13,5,1,2,.947,alvared01
